Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net,Cat_AP_Lag1,Cat_AP_Rolling4_Mean,Cat_Payroll_Lag1,Cat_Payroll_Rolling4_Mean,Cat_Bank_charges_Lag1,Cat_Bank_charges_Rolling4_Mean,Cat_Custom_and_Duty_Lag1,Cat_Custom_and_Duty_Rolling4_Mean,Cat_Other_receipt_Lag1,Cat_Other_receipt_Rolling4_Mean,Cat_AR_Lag1,Cat_AR_Rolling4_Mean,Cat_Nonting_AP_Lag1,Cat_Nonting_AP_Rolling4_Mean,Cat_Loan_payment_Lag1,Cat_Loan_payment_Rolling4_Mean,Cat_Tax_payable_Lag1,Cat_Tax_payable_Rolling4_Mean,Cat_Statutory_contribution_Lag1,Cat_Statutory_contribution_Rolling4_Mean,Cat_Interest_income_Lag1,Cat_Interest_income_Rolling4_Mean,Cat_Other_Lag1,Cat_Other_Rolling4_Mean,Cat_Interest_charges_Lag1,Cat_Interest_charges_Rolling4_Mean,Cat_Loan_payment_and_interest_charges_Lag1,Cat_Loan_payment_and_interest_charges_Rolling4_Mean,Cat_Loan_receipt_Lag1,Cat_Loan_receipt_Rolling4_Mean,Cat_Dividend_payout_Lag1,Cat_Dividend_payout_Rolling4_Mean,Cat_Netting_AP_Lag1,Cat_Netting_AP_Rolling4_Mean,Cat_Netting_AR_Lag1,Cat_Netting_AR_Rolling4_Mean,Cat_Nonting_AR_Lag1,Cat_Nonting_AR_Rolling4_Mean,AP_Ratio,Payroll_Ratio,Bank_charges_Ratio,Custom_and_Duty_Ratio,Other_receipt_Ratio,AR_Ratio,Nonting_AP_Ratio,Loan_payment_Ratio,Tax_payable_Ratio,Statutory_contribution_Ratio,Interest_income_Ratio,Other_Ratio,Interest_charges_Ratio,Loan_payment_and_interest_charges_Ratio,Loan_receipt_Ratio,Dividend_payout_Ratio,Netting_AP_Ratio,Netting_AR_Ratio,Nonting_AR_Ratio,AP_AR_Ratio,Inflow_Concentration
SS10,1,2025-01-01,2025-01-07,-798.23079,4.8552,-803.08599,803.08599,8,1,7,-99.77884875,4.8552,-114.72657000000001,4.8552,-321.76,-715.1596900000001,6,-87.9263,1,0.0,0,0.0,0,4.8552,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.8552,-803.08599,1,7,1,1,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-798.23079,0.0,-798.23079,0.0,-715.1596900000001,0.0,-87.9263,0.0,0.0,0.0,0.0,0.0,4.8552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8851630525236621,0.10882759919691679,0.0,0.0,0.006009348279421179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.1596900000001,1.0
SS10,2,2025-01-08,2025-01-14,-20674.374740000003,213.26632999999998,-20887.64107,20887.64107,65,4,61,-318.06730369230775,53.316582499999996,-342.4203454098361,161.94,-9482.44,-20872.23798,59,-5.38308,1,-10.02001,1,0.0,0,213.26632999999998,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,213.26632999999998,-20887.64107,4,61,1,2,False,1,-798.23079,4.8552,-803.08599,0.0,0.0,0.0,0.0,0.0,0.0,-10736.302765000002,14054.556170884973,-21472.605530000004,-715.1596900000001,-10793.698835000001,-87.9263,-46.65469,0.0,-5.010005,0.0,0.0,4.8552,109.06076499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891630527699488,0.0002551113038863911,0.0004748615692233216,0.0,0.010106974356941635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20872.23798,1.0
SS10,3,2025-01-15,2025-01-21,44072.66542,45473.05919,-1400.39377,1400.39377,42,6,36,1049.3491766666666,7578.843198333333,-38.89982694444444,14231.46,-372.96,-1400.39377,36,0.0,0,0.0,0,0.0,0,17.99919,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45455.06,5,45473.05919,-1400.39377,6,36,1,3,False,1,-20674.374740000003,213.26632999999998,-20887.64107,-798.23079,4.8552,-803.08599,0.0,0.0,0.0,7533.353296666664,33167.849981798056,22600.059889999993,-20872.23798,-7662.597146666667,-5.38308,-31.103126666666668,-10.02001,-3.340003333333333,0.0,0.0,213.26632999999998,78.70690666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15151.686666666666,0.02987605310824961,0.0,0.0,0.0,0.00038399539319963934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9697399514985506,1400.39377,0.9992086714259474
SS10,4,2025-01-22,2025-01-28,158688.40044999996,217044.8246,-58356.424150000006,58356.424150000006,57,4,53,2784.0070254385955,54261.20615,-1101.0646066037737,215836.63,-54079.11,-3752.39355,50,-54079.11,1,-6.4106,1,0.0,0,11.8846,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-518.51,1,216406.26,2,626.68,1,217044.8246,-58356.424150000006,4,53,1,4,True,1,44072.66542,45473.05919,-1400.39377,-20674.374740000003,213.26632999999998,-20887.64107,0.0,0.0,0.0,45322.11508499999,80283.03838041784,181288.46033999996,-1400.39377,-6685.0462475,0.0,-13543.104845,0.0,-4.1076524999999995,0.0,0.0,17.99919,62.001329999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.6275,0.0,54101.565,45455.06,11520.435,0.013625187129802364,0.19636479589492056,2.327730912294928e-05,0.0,4.3153762206751794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001882743823252181,0.7857853258917004,0.0022755161889947673,3752.39355,0.9941328229891044
SS10,5,2025-01-29,2025-02-04,-24315.701809999995,4208.6320000000005,-28524.333809999996,28524.333809999996,23,3,20,-1057.204426521739,1402.8773333333336,-1426.2166905,4124.02,-17375.41,-1267.15381,14,-710.39,1,0.0,0,0.0,0,84.612,2,0.0,0,0.0,0,0.0,0,0.0,0,-26546.789999999997,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4124.02,1,4208.6320000000005,-28524.333809999996,3,20,1,5,True,1,158688.40044999996,217044.8246,-58356.424150000006,44072.66542,45473.05919,-1400.39377,-798.23079,4.8552,-803.08599,39442.74732999999,85479.3739882176,156972.75852999996,-3752.39355,-6823.0447775,-54079.11,-13698.72077,-6.4106,-4.1076524999999995,0.0,0.0,11.8846,81.94053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6636.697499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-518.51,-129.6275,216406.26,54101.565,626.68,12551.439999999999,0.038711854506409606,0.021702585831161508,0.0,0.0,0.002584917006638941,0.0,0.0,0.0,0.0,0.8110108370287025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259898056270875,1267.15381,0.9605995834594105
SS10,6,2025-02-05,2025-02-11,-8670.90605,2.04659,-8672.95264,8672.95264,108,1,107,-80.28616712962963,2.04659,-81.05563214953271,2.04659,-5531.63,-8672.95264,107,0.0,0,0.0,0,0.0,0,2.04659,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.04659,-8672.95264,1,107,2,1,False,1,-24315.701809999995,4208.6320000000005,-28524.333809999996,158688.40044999996,217044.8246,-58356.424150000006,-20674.374740000003,213.26632999999998,-20887.64107,42443.61450249999,82835.18695316273,148301.85247999997,-1267.15381,-3773.2234424999997,-710.39,-13697.375,0.0,-1.60265,0.0,0.0,84.612,29.135595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26546.789999999997,-6636.697499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.6275,0.0,54101.565,4124.02,12551.439999999999,0.9997640818234401,0.0,0.0,0.0,0.00023591817655988428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8672.95264,1.0
SS10,7,2025-02-12,2025-02-18,-7932.46442,9.12421,-7941.58863,7941.58863,156,2,154,-50.8491308974359,4.562105,-51.56875733766234,8.92672,-2853.81,-7927.56588,152,-6.6612,1,-7.36155,1,0.0,0,9.12421,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.12421,-7941.58863,2,154,2,2,False,1,-8670.90605,2.04659,-8672.95264,-24315.701809999995,4208.6320000000005,-28524.333809999996,44072.66542,45473.05919,-1400.39377,29442.332042499995,86494.63708036391,140369.38805999997,-8672.95264,-5405.01647,0.0,-13699.0403,0.0,-3.4430375,0.0,0.0,2.04659,26.91685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6636.697499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.6275,0.0,54101.565,0.0,1187.6750000000002,0.9970886937478678,0.0008378116697269625,0.0009258981110428332,0.0,0.0011475964713624344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7927.56588,1.0
SS10,8,2025-02-19,2025-02-25,-58566.30514,16.458,-58582.763139999995,58582.763139999995,56,1,55,-1045.8268775,16.458,-1065.141148,16.458,-56129.85,-2452.9131400000006,54,-56129.85,1,0.0,0,0.0,0,16.458,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.458,-58582.763139999995,1,55,2,3,False,1,-7932.46442,9.12421,-7941.58863,-8670.90605,2.04659,-8672.95264,158688.40044999996,217044.8246,-58356.424150000006,-24871.344354999994,23699.781825064434,81803.08291999997,-7927.56588,-5080.1463675,-6.6612,-14211.7253,-7.36155,-1.8403875,0.0,0.0,9.12421,28.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6636.697499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.005,0.04185914236197305,0.9578600006628006,0.0,0.0,0.00028085697522634343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.9131400000006,1.0
SS10,9,2025-02-26,2025-03-04,7186.99186,20204.410000000003,-13017.41814,13017.41814,56,3,53,128.33914035714287,6734.803333333334,-245.61166301886792,10869.17,-8907.32,-12873.925000000001,50,-137.2175,2,-6.27564,1,0.0,0,9335.240000000002,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10869.17,1,0.0,0,20204.410000000003,-13017.41814,3,53,2,4,True,1,-58566.30514,16.458,-58582.763139999995,-7932.46442,9.12421,-7941.58863,-24315.701809999995,4208.6320000000005,-28524.333809999996,-16995.670937499995,28661.020165529495,88990.07477999997,-2452.9131400000006,-7981.839164999999,-56129.85,-14068.432175,0.0,-3.4092975,0.0,0.0,16.458,2340.7172000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.2925,0.0,0.0,0.38751404485472724,0.004130341636280585,0.00018890110362240888,0.0,0.2809971793442671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3271695330611026,0.0,12873.925000000001,0.5028819652581682
SS10,10,2025-03-05,2025-03-11,15310.861149999993,43361.52,-28050.65885,28050.65885,199,1,198,76.93900075376881,43361.52,-141.6699941919192,43361.52,-18326.3,-1977.0988499999999,193,0.0,0,0.0,0,0.0,0,43361.52,1,0.0,0,0.0,0,0.0,0,0.0,0,-26073.56,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43361.52,-28050.65885,1,198,3,1,False,1,7186.99186,20204.410000000003,-13017.41814,-58566.30514,16.458,-58582.763139999995,-8670.90605,2.04659,-8672.95264,-11000.229137499997,33141.06841149628,104300.93592999996,-12873.925000000001,-6307.875717500001,-137.2175,-14068.432175,-6.27564,-3.4092975,0.0,0.0,9335.240000000002,13180.5855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6518.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10869.17,2717.2925,0.0,0.0,0.027685737668820615,0.0,0.0,0.0,0.607200630176543,0.0,0.0,0.0,0.0,0.3651136321546364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0988499999999,1.0
