Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net,Cat_AP_Lag1,Cat_AP_Rolling4_Mean,Cat_Payroll_Lag1,Cat_Payroll_Rolling4_Mean,Cat_Bank_charges_Lag1,Cat_Bank_charges_Rolling4_Mean,Cat_Custom_and_Duty_Lag1,Cat_Custom_and_Duty_Rolling4_Mean,Cat_Other_receipt_Lag1,Cat_Other_receipt_Rolling4_Mean,Cat_AR_Lag1,Cat_AR_Rolling4_Mean,Cat_Nonting_AP_Lag1,Cat_Nonting_AP_Rolling4_Mean,Cat_Loan_payment_Lag1,Cat_Loan_payment_Rolling4_Mean,Cat_Tax_payable_Lag1,Cat_Tax_payable_Rolling4_Mean,Cat_Statutory_contribution_Lag1,Cat_Statutory_contribution_Rolling4_Mean,Cat_Interest_income_Lag1,Cat_Interest_income_Rolling4_Mean,Cat_Other_Lag1,Cat_Other_Rolling4_Mean,Cat_Interest_charges_Lag1,Cat_Interest_charges_Rolling4_Mean,Cat_Loan_payment_and_interest_charges_Lag1,Cat_Loan_payment_and_interest_charges_Rolling4_Mean,Cat_Loan_receipt_Lag1,Cat_Loan_receipt_Rolling4_Mean,Cat_Dividend_payout_Lag1,Cat_Dividend_payout_Rolling4_Mean,Cat_Netting_AP_Lag1,Cat_Netting_AP_Rolling4_Mean,Cat_Netting_AR_Lag1,Cat_Netting_AR_Rolling4_Mean,Cat_Nonting_AR_Lag1,Cat_Nonting_AR_Rolling4_Mean,AP_Ratio,Payroll_Ratio,Bank_charges_Ratio,Custom_and_Duty_Ratio,Other_receipt_Ratio,AR_Ratio,Nonting_AP_Ratio,Loan_payment_Ratio,Tax_payable_Ratio,Statutory_contribution_Ratio,Interest_income_Ratio,Other_Ratio,Interest_charges_Ratio,Loan_payment_and_interest_charges_Ratio,Loan_receipt_Ratio,Dividend_payout_Ratio,Netting_AP_Ratio,Netting_AR_Ratio,Nonting_AR_Ratio,AP_AR_Ratio,Inflow_Concentration
TH10,1,2025-01-01,2025-01-07,-21955.21652,4.40586,-21959.62238,21959.62238,20,1,19,-1097.7608260000002,4.40586,-1155.7695989473684,4.40586,-20197.43,-1702.17341,10,0.0,0,-60.018969999999996,8,-20197.43,1,4.40586,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.40586,-21959.62238,1,19,1,1,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21955.21652,0.0,-21955.21652,0.0,-1702.17341,0.0,0.0,0.0,-60.018969999999996,0.0,-20197.43,0.0,4.40586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07749823444954741,0.0,0.0027326030245533868,0.9195685681744508,0.0002005943514485301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.17341,1.0
TH10,2,2025-01-08,2025-01-14,-92677.70809999999,5.497170000000001,-92683.20526999999,92683.20526999999,218,3,215,-425.12710137614675,1.8323900000000002,-431.0846756744186,2.22807,-25629.82,-64465.78197,204,0.0,0,-8.493300000000001,8,0.0,0,5.497170000000001,3,0.0,0,0.0,0,0.0,0,-28208.93,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.497170000000001,-92683.20526999999,3,215,1,2,False,1,-21955.21652,4.40586,-21959.62238,0.0,0.0,0.0,0.0,0.0,0.0,-57316.462309999995,50008.353378626496,-114632.92461999999,-1702.17341,-33083.97769,0.0,0.0,-60.018969999999996,-34.256135,-20197.43,-10098.715,4.40586,4.9515150000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14104.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6955085169277293,0.0,9.16325266878987e-05,0.0,5.9307875234940024e-05,0.0,0.0,0.0,0.30434054267034794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64465.78197,1.0
TH10,3,2025-01-15,2025-01-21,-44283.80555,19.68648,-44303.492029999994,44303.492029999994,189,1,188,-234.30584947089946,19.68648,-235.65687249999996,19.68648,-6605.4,-37621.90536,177,0.0,0,-5.599010000000001,9,-6605.4,1,19.68648,1,0.0,0,0.0,0,0.0,0,-70.58766,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.68648,-44303.492029999994,1,188,1,3,False,1,-92677.70809999999,5.497170000000001,-92683.20526999999,-21955.21652,4.40586,-21959.62238,0.0,0.0,0.0,-52972.243389999996,36152.930972404574,-158916.73017,-64465.78197,-34596.620246666665,0.0,0.0,-8.493300000000001,-24.70376,0.0,-8934.276666666667,5.497170000000001,9.86317,0.0,0.0,0.0,0.0,0.0,0.0,-28208.93,-9426.505886666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8488088315126568,0.0,0.00012632239356969352,0.1490281207722889,0.00044415767690393474,0.0,0.0,0.0,0.0015925676445806868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37621.90536,1.0
TH10,4,2025-01-22,2025-01-28,81870.26228999998,598704.23006,-516833.96777,516833.96777,150,2,148,545.8017485999999,299352.11503,-3492.1214038513513,598696.57,-235668.51,-108375.7297,135,-112552.49,1,-4.09807,8,-4196.030000000001,2,7.66006,1,598696.57,1,0.0,0,0.0,0,-235668.51,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-56037.11,1,0.0,0,0.0,0,598704.23006,-516833.96777,2,148,1,4,True,1,-44283.80555,19.68648,-44303.492029999994,-92677.70809999999,5.497170000000001,-92683.20526999999,0.0,0.0,0.0,-19261.616970000003,73600.14682806125,-77046.46788000001,-37621.90536,-53041.39761,0.0,-28138.1225,-5.599010000000001,-19.5523375,-6605.4,-7749.715,19.68648,9.3123925,0.0,149674.1425,0.0,0.0,0.0,0.0,-70.58766,-65987.006915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14009.2775,0.0,0.0,0.0,0.0,0.09715107013889603,0.10089523623569563,3.6736258856682523e-06,0.00376144000103477,6.866694493205815e-06,0.536688542951388,0.0,0.0,0.2112599196140787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05023325073852797,0.0,0.0,0.18101945982419776,0.9999744115320734
TH10,5,2025-01-29,2025-02-04,-36867.91134,8.18266,-36876.094,36876.094,97,1,96,-380.08156020618554,8.18266,-384.12597916666664,8.18266,-8274.14,-11627.365339999997,78,0.0,0,-4.3586599999999995,11,-25244.370000000003,7,8.18266,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.18266,-36876.094,1,96,1,5,True,1,81870.26228999998,598704.23006,-516833.96777,-44283.80555,19.68648,-44303.492029999994,-21955.21652,4.40586,-21959.62238,-22989.790675000004,74157.65603439121,-113914.37922,-108375.7297,-55522.6955925,-112552.49,-28138.1225,-4.09807,-5.63726,-4196.030000000001,-9011.45,7.66006,10.2565925,598696.57,149674.1425,0.0,0.0,0.0,0.0,-235668.51,-65987.006915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56037.11,-14009.2775,0.0,0.0,0.0,0.0,0.3152390772681076,0.0,0.00011817122076645871,0.684420904677164,0.0002218468339620138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11627.365339999997,1.0
TH10,6,2025-02-05,2025-02-11,-80214.99117999998,3.43734,-80218.42852,80218.42852,123,3,120,-652.1543998373983,1.14578,-668.4869043333333,1.61472,-23928.6,-53546.922600000005,105,0.0,0,-7.0632,8,-2735.8427199999996,6,3.43734,3,0.0,0,0.0,0,0.0,0,-23928.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.43734,-80218.42852,3,120,2,1,False,1,-36867.91134,8.18266,-36876.094,81870.26228999998,598704.23006,-516833.96777,-92677.70809999999,5.497170000000001,-92683.20526999999,-19874.111445000002,70421.49708503329,-194129.37039999999,-11627.365339999997,-52792.98075,0.0,-28138.1225,-4.3586599999999995,-5.2797350000000005,-25244.370000000003,-9695.41068,8.18266,9.741635,0.0,149674.1425,0.0,0.0,0.0,0.0,0.0,-64916.92441500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14009.2775,0.0,0.0,0.0,0.0,0.6674853797772288,0.0,8.804582047900025e-05,0.03410345409784513,4.2847918870382647e-05,0.0,0.0,0.0,0.2982802723855767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53546.922600000005,1.0
TH10,7,2025-02-12,2025-02-18,-61332.959969999996,0.0,-61332.959969999996,61332.959969999996,203,0,203,-302.13280773399015,0.0,-302.13280773399015,-0.18873,-13096.15,-54081.92291,184,0.0,0,-11.727060000000002,15,-2256.37,1,0.0,0,0.0,0,0.0,0,0.0,0,-4982.94,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-61332.959969999996,0,203,2,2,False,1,-80214.99117999998,3.43734,-80218.42852,-36867.91134,8.18266,-36876.094,-44283.80555,19.68648,-44303.492029999994,-24136.400050000004,72864.93508129049,-255462.33036999998,-53546.922600000005,-56907.9851375,0.0,-28138.1225,-7.0632,-6.811747500000001,-2735.8427199999996,-8608.153180000001,3.43734,4.820015,0.0,149674.1425,0.0,0.0,0.0,0.0,-23928.6,-66145.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14009.2775,0.0,0.0,0.0,0.0,0.8817758499908251,0.0,0.00019120322915665736,0.03678886525456567,0.0,0.0,0.0,0.0,0.08124408152545258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54081.92291,0.0
TH10,8,2025-02-19,2025-02-25,-361813.81239,0.0,-361813.81239,361813.81239,135,0,135,-2680.1023139999998,0.0,-2680.1023139999998,-0.16786,-232298.06,-67369.74733000001,120,0.0,0,-5.13506,9,-20494.81,4,0.0,0,0.0,0,0.0,0,0.0,0,-41646.06,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-232298.06,1,0.0,0,0.0,0,0.0,-361813.81239,0,135,2,3,False,1,-61332.959969999996,0.0,-61332.959969999996,-80214.99117999998,3.43734,-80218.42852,81870.26228999998,598704.23006,-516833.96777,-135057.41872,152208.87962074977,-617276.14276,-54081.92291,-46656.489545000004,0.0,0.0,-11.727060000000002,-7.070995000000001,-2256.37,-12682.84818,0.0,2.9050000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-4982.94,-17639.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58074.515,0.0,0.0,0.0,0.0,0.1862000427374011,0.0,1.4192548278021256e-05,0.05664463129425418,0.0,0.0,0.0,0.0,0.11510356590563108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420375675144357,0.0,0.0,67369.74733000001,0.0
TH10,9,2025-02-26,2025-03-04,633960.14121,727597.28389,-93637.14267999999,93637.14267999999,125,5,120,5071.681129680001,145519.456778,-780.3095223333332,727579.48,-63247.19,-23379.501039999996,101,-63247.19,1,-5.69164,11,-7004.76,7,17.803890000000003,4,727579.48,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,727597.28389,-93637.14267999999,5,120,2,4,True,1,-361813.81239,0.0,-361813.81239,-61332.959969999996,0.0,-61332.959969999996,-36867.91134,8.18266,-36876.094,32649.59441750002,423771.51398891414,16683.998450000072,-67369.74733000001,-49594.52347000001,0.0,-15811.7975,-5.13506,-7.404240000000001,-20494.81,-8122.945680000001,0.0,5.3103075,0.0,181894.87,0.0,0.0,0.0,0.0,-41646.06,-17639.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232298.06,-58074.515,0.0,0.0,0.0,0.0,0.028468729857864996,0.07701478159428936,6.930591090502535e-06,0.008529549874396226,2.1679424807311635e-05,0.8859583286575518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0321332606026767,0.9999510623397223
TH10,10,2025-03-05,2025-03-11,-82381.32383000001,4.68537,-82386.0092,82386.0092,121,4,117,-680.8373870247934,1.1713425,-704.1539247863248,3.5637,-16583.1,-45642.06851,104,0.0,0,-6.480690000000001,8,-25300.089999999997,2,4.68537,4,0.0,0,0.0,0,0.0,0,-11437.37,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.68537,-82386.0092,4,117,3,1,False,1,633960.14121,727597.28389,-93637.14267999999,-361813.81239,0.0,-361813.81239,-80214.99117999998,3.43734,-80218.42852,32108.011255000012,423965.17641069274,-65697.32537999994,-23379.501039999996,-47618.3099475,-63247.19,-15811.7975,-5.69164,-7.258612500000001,-7004.76,-13764.0075,17.803890000000003,5.622315,727579.48,181894.87,0.0,0.0,0.0,0.0,0.0,-14516.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58074.515,0.0,0.0,0.0,0.0,0.553971158371799,0.0,7.865803333523227e-05,0.307074605112168,5.686770847670497e-05,0.0,0.0,0.0,0.13881871077422087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45642.06851,1.0
