Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank charges_Net,Cat_Bank charges_Count,Cat_Custom and Duty_Net,Cat_Custom and Duty_Count,Cat_Other receipt_Net,Cat_Other receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non Netting AP_Net,Cat_Non Netting AP_Count,Cat_Loan payment_Net,Cat_Loan payment_Count,Cat_Tax payable_Net,Cat_Tax payable_Count,Cat_Statutory contribution_Net,Cat_Statutory contribution_Count,Cat_Interest income_Net,Cat_Interest income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest charges_Net,Cat_Interest charges_Count,Cat_Loan payment and interest charges_Net,Cat_Loan payment and interest charges_Count,Cat_Loan receipt_Net,Cat_Loan receipt_Count,Cat_Dividend payout_Net,Cat_Dividend payout_Count,Cat_Netting AP_Net,Cat_Netting AP_Count,Cat_Netting AR_Net,Cat_Netting AR_Count,Cat_Non Netting AR_Net,Cat_Non Netting AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net
PH10,1,2025-01-01,2025-01-07,-39384.46897,3636.57698,-43021.04595,43021.04595,147,7,140,-267.92155761904763,519.5109971428571,-307.2931853571429,2596.98,-7953.3,-32007.728480000005,137,-6499.79,1,-3.17049,4,-4441.73,3,0.0,0,3567.95,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3636.57698,-43021.04595,7,140,1,1,False,1,,,,,,,,,,-39384.46897,,-39384.46897
PH10,2,2025-01-08,2025-01-14,-67514.27508,1780.6658700000003,-69294.94095,69294.94095,232,11,221,-291.00980637931036,161.87871545454547,-313.5517690045249,754.77,-24336.3,-33707.95254,210,-24336.3,1,-2.8954799999999996,5,-9866.64634,8,1670.01,4,20.90928,2,0.0,0,0.0,0,-1291.4,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1780.6658700000003,-69294.94095,11,221,1,2,False,1,-39384.46897,3636.57698,-43021.04595,,,,,,,-53449.372025000004,19890.776653843783,-106898.74405000001
PH10,3,2025-01-15,2025-01-21,-49909.03587,6441.58752,-56350.62339,56350.62339,136,12,124,-366.9782049264706,536.79896,-454.4405112096774,2340.8,-14261.75,-39099.51128,114,-178.72,1,-2.60601,6,-5950.02858,8,4031.89,5,2340.8,1,0.0,0,0.0,0,-11050.86,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6441.58752,-56350.62339,12,124,1,3,False,1,-67514.27508,1780.6658700000003,-69294.94095,-39384.46897,3636.57698,-43021.04595,,,,-52269.25997333333,14212.65250788941,-156807.77992
PH10,4,2025-01-22,2025-01-28,-191091.39993,221117.47506,-412208.8749899999,412208.8749899999,209,13,196,-914.312918325359,17009.036543076923,-2103.10650505102,219878.07,-353700.14,-48161.196970000005,189,-4382.74,1,-4.09656,5,-5842.889999999999,6,752.8526800000001,4,220248.2,2,0.0,0,0.0,0,-1.38908,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-353700.14,1,0.0,0,0.0,0,221117.47506,-412208.8749899999,13,196,1,4,True,1,-49909.03587,6441.58752,-56350.62339,-67514.27508,1780.6658700000003,-69294.94095,,,,-86974.7949625,70374.44822573815,-347899.17985
PH10,5,2025-01-29,2025-02-04,171508.57175,198323.29903,-26814.72728,26814.72728,189,20,169,907.4527605820106,9916.164951499999,-158.66702532544377,158174.49,-5583.24,-15277.26251,159,0.0,0,-7.19215,9,-2277.2045999999996,6,41.49399,10,198144.00999999998,2,0.0,0,0.0,0,-9115.27298,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,198323.29903,-26814.72728,20,169,1,5,True,1,-191091.39993,221117.47506,-412208.8749899999,-49909.03587,6441.58752,-56350.62339,-39384.46897,3636.57698,-43021.04595,-34251.534782500006,150872.4980153283,-176390.6081
PH10,6,2025-02-05,2025-02-11,-34469.07774,1042.6160599999998,-35511.6938,35511.6938,208,15,193,-165.71671990384615,69.50773733333332,-183.9984134715026,867.34,-8420.2,-22358.38161,191,-6303.01,1,-4.553590000000001,6,-2544.31458,4,2.83332,2,887.4687200000001,3,0.0,0,0.0,0,-4149.12,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1042.6160599999998,-35511.6938,15,193,2,1,False,1,171508.57175,198323.29903,-26814.72728,-191091.39993,221117.47506,-412208.8749899999,-67514.27508,1780.6658700000003,-69294.94095,-25990.235447500003,149340.96684900328,-210859.68584000002
PH10,7,2025-02-12,2025-02-18,-52707.64033999999,1955.70701,-54663.34735,54663.34735,165,15,150,-319.44024448484845,130.38046733333334,-364.42231566666663,1763.16,-30885.92,-16220.5411,147,-30885.92,1,-2.41505,6,-565.46,3,71.70581000000001,6,1763.16,1,0.0,0,0.0,0,-6868.17,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1955.70701,-54663.34735,15,150,2,2,False,1,-34469.07774,1042.6160599999998,-35511.6938,171508.57175,198323.29903,-26814.72728,-49909.03587,6441.58752,-56350.62339,-26689.886565,149496.85147406816,-263567.32618
PH10,8,2025-02-19,2025-02-25,-43400.34027,276.10834,-43676.44861,43676.44861,205,10,195,-211.70897692682928,27.610834,-223.98178774358973,155.53,-7259.4,-24384.849079999996,184,-5385.400000000001,2,-4.83072,6,-13799.91631,9,174.65584,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,276.10834,-43676.44861,10,195,2,3,False,1,-52707.64033999999,1955.70701,-54663.34735,-34469.07774,1042.6160599999998,-35511.6938,-191091.39993,221117.47506,-412208.8749899999,10232.878350000005,107774.68037906683,-306967.66645
PH10,9,2025-02-26,2025-03-04,148855.61326000004,462599.78418,-313744.17092000006,313744.17092000006,176,15,161,845.7705298863639,30839.985612,-1948.7215585093172,209155.38,-271099.44,-31411.81178,157,-8134.46,2,-7.0082,6,-2975.75,3,134.85324,4,462349.23,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-271099.44,1,0.0,0,0.0,0,462599.78418,-313744.17092000006,15,161,2,4,True,1,-43400.34027,276.10834,-43676.44861,-52707.64033999999,1955.70701,-54663.34735,171508.57175,198323.29903,-26814.72728,4569.638727500016,96478.44217340295,-158112.05318999995
PH10,10,2025-03-05,2025-03-11,-39279.435209999996,2596.12586,-41875.56107,41875.56107,210,17,193,-187.04492957142855,152.71328588235295,-216.97181901554407,2384.98,-10897.07,-18686.49516,184,-30.8055,1,-4.9697,6,-8770.37704,8,30.70898,4,2408.14296,3,0.0,0,0.0,0,-14225.63975,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2596.12586,-41875.56107,17,193,3,1,False,1,148855.61326000004,462599.78418,-313744.17092000006,-43400.34027,276.10834,-43676.44861,-34469.07774,1042.6160599999998,-35511.6938,3367.0493600000173,97154.86680144431,-197391.48839999994
