Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank charges_Net,Cat_Bank charges_Count,Cat_Custom and Duty_Net,Cat_Custom and Duty_Count,Cat_Other receipt_Net,Cat_Other receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non Netting AP_Net,Cat_Non Netting AP_Count,Cat_Loan payment_Net,Cat_Loan payment_Count,Cat_Tax payable_Net,Cat_Tax payable_Count,Cat_Statutory contribution_Net,Cat_Statutory contribution_Count,Cat_Interest income_Net,Cat_Interest income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest charges_Net,Cat_Interest charges_Count,Cat_Loan payment and interest charges_Net,Cat_Loan payment and interest charges_Count,Cat_Loan receipt_Net,Cat_Loan receipt_Count,Cat_Dividend payout_Net,Cat_Dividend payout_Count,Cat_Netting AP_Net,Cat_Netting AP_Count,Cat_Netting AR_Net,Cat_Netting AR_Count,Cat_Non Netting AR_Net,Cat_Non Netting AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net
SS10,1,2025-01-01,2025-01-07,-798.23079,4.8552,-803.08599,803.08599,8,1,7,-99.77884875,4.8552,-114.72657000000001,4.8552,-321.76,-715.1596900000001,6,-87.9263,1,0.0,0,0.0,0,4.8552,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.8552,-803.08599,1,7,1,1,False,1,,,,,,,,,,-798.23079,,-798.23079
SS10,2,2025-01-08,2025-01-14,-20674.374740000003,213.26632999999998,-20887.64107,20887.64107,65,4,61,-318.06730369230775,53.316582499999996,-342.4203454098361,161.94,-9482.44,-20872.23798,59,-5.38308,1,-10.02001,1,0.0,0,213.26632999999998,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,213.26632999999998,-20887.64107,4,61,1,2,False,1,-798.23079,4.8552,-803.08599,,,,,,,-10736.302765000002,14054.556170884973,-21472.605530000004
SS10,3,2025-01-15,2025-01-21,44072.66542,45473.05919,-1400.39377,1400.39377,42,6,36,1049.3491766666666,7578.843198333333,-38.89982694444444,14231.46,-372.96,-1400.39377,36,0.0,0,0.0,0,0.0,0,17.99919,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45455.06,5,45473.05919,-1400.39377,6,36,1,3,False,1,-20674.374740000003,213.26632999999998,-20887.64107,-798.23079,4.8552,-803.08599,,,,7533.353296666664,33167.849981798056,22600.059889999993
SS10,4,2025-01-22,2025-01-28,158688.40044999996,217044.8246,-58356.424150000006,58356.424150000006,57,4,53,2784.0070254385955,54261.20615,-1101.0646066037737,215836.63,-54079.11,-3752.39355,50,-54079.11,1,-6.4106,1,0.0,0,11.8846,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-518.51,1,216406.26,2,626.68,1,217044.8246,-58356.424150000006,4,53,1,4,True,1,44072.66542,45473.05919,-1400.39377,-20674.374740000003,213.26632999999998,-20887.64107,,,,45322.11508499999,80283.03838041784,181288.46033999996
SS10,5,2025-01-29,2025-02-04,-24315.701809999995,4208.6320000000005,-28524.333809999996,28524.333809999996,23,3,20,-1057.204426521739,1402.8773333333336,-1426.2166905,4124.02,-17375.41,-1267.15381,14,-710.39,1,0.0,0,0.0,0,84.612,2,0.0,0,0.0,0,0.0,0,0.0,0,-26546.789999999997,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4124.02,1,4208.6320000000005,-28524.333809999996,3,20,1,5,True,1,158688.40044999996,217044.8246,-58356.424150000006,44072.66542,45473.05919,-1400.39377,-798.23079,4.8552,-803.08599,39442.74732999999,85479.3739882176,156972.75852999996
SS10,6,2025-02-05,2025-02-11,-8670.90605,2.04659,-8672.95264,8672.95264,108,1,107,-80.28616712962963,2.04659,-81.05563214953271,2.04659,-5531.63,-8672.95264,107,0.0,0,0.0,0,0.0,0,2.04659,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.04659,-8672.95264,1,107,2,1,False,1,-24315.701809999995,4208.6320000000005,-28524.333809999996,158688.40044999996,217044.8246,-58356.424150000006,-20674.374740000003,213.26632999999998,-20887.64107,42443.61450249999,82835.18695316273,148301.85247999997
SS10,7,2025-02-12,2025-02-18,-7932.46442,9.12421,-7941.58863,7941.58863,156,2,154,-50.8491308974359,4.562105,-51.56875733766234,8.92672,-2853.81,-7927.56588,152,-6.6612,1,-7.36155,1,0.0,0,9.12421,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.12421,-7941.58863,2,154,2,2,False,1,-8670.90605,2.04659,-8672.95264,-24315.701809999995,4208.6320000000005,-28524.333809999996,44072.66542,45473.05919,-1400.39377,29442.332042499995,86494.63708036391,140369.38805999997
SS10,8,2025-02-19,2025-02-25,-58566.30514,16.458,-58582.763139999995,58582.763139999995,56,1,55,-1045.8268775,16.458,-1065.141148,16.458,-56129.85,-2452.9131400000006,54,-56129.85,1,0.0,0,0.0,0,16.458,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.458,-58582.763139999995,1,55,2,3,False,1,-7932.46442,9.12421,-7941.58863,-8670.90605,2.04659,-8672.95264,158688.40044999996,217044.8246,-58356.424150000006,-24871.344354999994,23699.781825064434,81803.08291999997
SS10,9,2025-02-26,2025-03-04,7186.99186,20204.410000000003,-13017.41814,13017.41814,56,3,53,128.33914035714287,6734.803333333334,-245.61166301886792,10869.17,-8907.32,-12873.925000000001,50,-137.2175,2,-6.27564,1,0.0,0,9335.240000000002,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10869.17,1,0.0,0,20204.410000000003,-13017.41814,3,53,2,4,True,1,-58566.30514,16.458,-58582.763139999995,-7932.46442,9.12421,-7941.58863,-24315.701809999995,4208.6320000000005,-28524.333809999996,-16995.670937499995,28661.020165529495,88990.07477999997
SS10,10,2025-03-05,2025-03-11,15310.861149999993,43361.52,-28050.65885,28050.65885,199,1,198,76.93900075376881,43361.52,-141.6699941919192,43361.52,-18326.3,-1977.0988499999999,193,0.0,0,0.0,0,0.0,0,43361.52,1,0.0,0,0.0,0,0.0,0,0.0,0,-26073.56,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43361.52,-28050.65885,1,198,3,1,False,1,7186.99186,20204.410000000003,-13017.41814,-58566.30514,16.458,-58582.763139999995,-8670.90605,2.04659,-8672.95264,-11000.229137499997,33141.06841149628,104300.93592999996
SS10,11,2025-03-12,2025-03-18,2405.8177400000004,10365.15,-7959.332259999999,7959.332259999999,95,1,94,25.3243972631579,10365.15,-84.6737474468085,10365.15,-3424.87,-7944.8686,92,-5.23702,1,-9.22664,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10365.15,1,10365.15,-7959.332259999999,1,94,3,2,False,1,15310.861149999993,43361.52,-28050.65885,7186.99186,20204.410000000003,-13017.41814,-7932.46442,9.12421,-7941.58863,-8415.658597499998,33855.487686052096,106706.75366999996
SS10,12,2025-03-19,2025-03-25,-188276.64178,764.1764800000001,-189040.81826,189040.81826,48,2,46,-3922.4300370833334,382.08824000000004,-4109.583005652174,754.96,-181285.72,-7755.098259999999,45,-181285.72,1,0.0,0,0.0,0,9.21648,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,754.96,1,764.1764800000001,-189040.81826,2,46,3,3,False,1,2405.8177400000004,10365.15,-7959.332259999999,15310.861149999993,43361.52,-28050.65885,-58566.30514,16.458,-58582.763139999995,-40843.242757500004,98433.18411374376,-81569.88811000004
