Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net
TH10,1,2025-01-01,2025-01-07,-21955.21652,4.40586,-21959.62238,21959.62238,20,1,19,-1097.7608260000002,4.40586,-1155.7695989473684,4.40586,-20197.43,-1702.17341,10,0.0,0,-60.018969999999996,8,-20197.43,1,4.40586,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.40586,-21959.62238,1,19,1,1,False,1,,,,,,,,,,-21955.21652,,-21955.21652
TH10,2,2025-01-08,2025-01-14,-92677.70809999999,5.497170000000001,-92683.20526999999,92683.20526999999,218,3,215,-425.12710137614675,1.8323900000000002,-431.0846756744186,2.22807,-25629.82,-64465.78197,204,0.0,0,-8.493300000000001,8,0.0,0,5.497170000000001,3,0.0,0,0.0,0,0.0,0,-28208.93,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.497170000000001,-92683.20526999999,3,215,1,2,False,1,-21955.21652,4.40586,-21959.62238,,,,,,,-57316.462309999995,50008.353378626496,-114632.92461999999
TH10,3,2025-01-15,2025-01-21,-44283.80555,19.68648,-44303.492029999994,44303.492029999994,189,1,188,-234.30584947089946,19.68648,-235.65687249999996,19.68648,-6605.4,-37621.90536,177,0.0,0,-5.599010000000001,9,-6605.4,1,19.68648,1,0.0,0,0.0,0,0.0,0,-70.58766,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.68648,-44303.492029999994,1,188,1,3,False,1,-92677.70809999999,5.497170000000001,-92683.20526999999,-21955.21652,4.40586,-21959.62238,,,,-52972.243389999996,36152.930972404574,-158916.73017
TH10,4,2025-01-22,2025-01-28,81870.26228999998,598704.23006,-516833.96777,516833.96777,150,2,148,545.8017485999999,299352.11503,-3492.1214038513513,598696.57,-235668.51,-108375.7297,135,-112552.49,1,-4.09807,8,-4196.030000000001,2,7.66006,1,598696.57,1,0.0,0,0.0,0,-235668.51,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-56037.11,1,0.0,0,0.0,0,598704.23006,-516833.96777,2,148,1,4,True,1,-44283.80555,19.68648,-44303.492029999994,-92677.70809999999,5.497170000000001,-92683.20526999999,,,,-19261.616970000003,73600.14682806125,-77046.46788000001
TH10,5,2025-01-29,2025-02-04,-36867.91134,8.18266,-36876.094,36876.094,97,1,96,-380.08156020618554,8.18266,-384.12597916666664,8.18266,-8274.14,-11627.365339999997,78,0.0,0,-4.3586599999999995,11,-25244.370000000003,7,8.18266,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.18266,-36876.094,1,96,1,5,True,1,81870.26228999998,598704.23006,-516833.96777,-44283.80555,19.68648,-44303.492029999994,-21955.21652,4.40586,-21959.62238,-22989.790675000004,74157.65603439121,-113914.37922
TH10,6,2025-02-05,2025-02-11,-80214.99117999998,3.43734,-80218.42852,80218.42852,123,3,120,-652.1543998373983,1.14578,-668.4869043333333,1.61472,-23928.6,-53546.922600000005,105,0.0,0,-7.0632,8,-2735.8427199999996,6,3.43734,3,0.0,0,0.0,0,0.0,0,-23928.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.43734,-80218.42852,3,120,2,1,False,1,-36867.91134,8.18266,-36876.094,81870.26228999998,598704.23006,-516833.96777,-92677.70809999999,5.497170000000001,-92683.20526999999,-19874.111445000002,70421.49708503329,-194129.37039999999
TH10,7,2025-02-12,2025-02-18,-61332.959969999996,0.0,-61332.959969999996,61332.959969999996,203,0,203,-302.13280773399015,0.0,-302.13280773399015,-0.18873,-13096.15,-54081.92291,184,0.0,0,-11.727060000000002,15,-2256.37,1,0.0,0,0.0,0,0.0,0,0.0,0,-4982.94,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-61332.959969999996,0,203,2,2,False,1,-80214.99117999998,3.43734,-80218.42852,-36867.91134,8.18266,-36876.094,-44283.80555,19.68648,-44303.492029999994,-24136.400050000004,72864.93508129049,-255462.33036999998
TH10,8,2025-02-19,2025-02-25,-361813.81239,0.0,-361813.81239,361813.81239,135,0,135,-2680.1023139999998,0.0,-2680.1023139999998,-0.16786,-232298.06,-67369.74733000001,120,0.0,0,-5.13506,9,-20494.81,4,0.0,0,0.0,0,0.0,0,0.0,0,-41646.06,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-232298.06,1,0.0,0,0.0,0,0.0,-361813.81239,0,135,2,3,False,1,-61332.959969999996,0.0,-61332.959969999996,-80214.99117999998,3.43734,-80218.42852,81870.26228999998,598704.23006,-516833.96777,-135057.41872,152208.87962074977,-617276.14276
TH10,9,2025-02-26,2025-03-04,633960.14121,727597.28389,-93637.14267999999,93637.14267999999,125,5,120,5071.681129680001,145519.456778,-780.3095223333332,727579.48,-63247.19,-23379.501039999996,101,-63247.19,1,-5.69164,11,-7004.76,7,17.803890000000003,4,727579.48,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,727597.28389,-93637.14267999999,5,120,2,4,True,1,-361813.81239,0.0,-361813.81239,-61332.959969999996,0.0,-61332.959969999996,-36867.91134,8.18266,-36876.094,32649.59441750002,423771.51398891414,16683.998450000072
TH10,10,2025-03-05,2025-03-11,-82381.32383000001,4.68537,-82386.0092,82386.0092,121,4,117,-680.8373870247934,1.1713425,-704.1539247863248,3.5637,-16583.1,-45642.06851,104,0.0,0,-6.480690000000001,8,-25300.089999999997,2,4.68537,4,0.0,0,0.0,0,0.0,0,-11437.37,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.68537,-82386.0092,4,117,3,1,False,1,633960.14121,727597.28389,-93637.14267999999,-361813.81239,0.0,-361813.81239,-80214.99117999998,3.43734,-80218.42852,32108.011255000012,423965.17641069274,-65697.32537999994
