Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank_charges_Net,Cat_Bank_charges_Count,Cat_Custom_and_Duty_Net,Cat_Custom_and_Duty_Count,Cat_Other_receipt_Net,Cat_Other_receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non_Netting_AP_Net,Cat_Non_Netting_AP_Count,Cat_Loan_payment_Net,Cat_Loan_payment_Count,Cat_Tax_payable_Net,Cat_Tax_payable_Count,Cat_Statutory_contribution_Net,Cat_Statutory_contribution_Count,Cat_Interest_income_Net,Cat_Interest_income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest_charges_Net,Cat_Interest_charges_Count,Cat_Loan_payment_and_interest_charges_Net,Cat_Loan_payment_and_interest_charges_Count,Cat_Loan_receipt_Net,Cat_Loan_receipt_Count,Cat_Dividend_payout_Net,Cat_Dividend_payout_Count,Cat_Netting_AP_Net,Cat_Netting_AP_Count,Cat_Netting_AR_Net,Cat_Netting_AR_Count,Cat_Non_Netting_AR_Net,Cat_Non_Netting_AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net,Cat_AP_Lag1,Cat_AP_Rolling4_Mean,Cat_Payroll_Lag1,Cat_Payroll_Rolling4_Mean,Cat_Bank_charges_Lag1,Cat_Bank_charges_Rolling4_Mean,Cat_Custom_and_Duty_Lag1,Cat_Custom_and_Duty_Rolling4_Mean,Cat_Other_receipt_Lag1,Cat_Other_receipt_Rolling4_Mean,Cat_AR_Lag1,Cat_AR_Rolling4_Mean,Cat_Nonting_AP_Lag1,Cat_Nonting_AP_Rolling4_Mean,Cat_Loan_payment_Lag1,Cat_Loan_payment_Rolling4_Mean,Cat_Tax_payable_Lag1,Cat_Tax_payable_Rolling4_Mean,Cat_Statutory_contribution_Lag1,Cat_Statutory_contribution_Rolling4_Mean,Cat_Interest_income_Lag1,Cat_Interest_income_Rolling4_Mean,Cat_Other_Lag1,Cat_Other_Rolling4_Mean,Cat_Interest_charges_Lag1,Cat_Interest_charges_Rolling4_Mean,Cat_Loan_payment_and_interest_charges_Lag1,Cat_Loan_payment_and_interest_charges_Rolling4_Mean,Cat_Loan_receipt_Lag1,Cat_Loan_receipt_Rolling4_Mean,Cat_Dividend_payout_Lag1,Cat_Dividend_payout_Rolling4_Mean,Cat_Netting_AP_Lag1,Cat_Netting_AP_Rolling4_Mean,Cat_Netting_AR_Lag1,Cat_Netting_AR_Rolling4_Mean,Cat_Nonting_AR_Lag1,Cat_Nonting_AR_Rolling4_Mean,AP_Ratio,Payroll_Ratio,Bank_charges_Ratio,Custom_and_Duty_Ratio,Other_receipt_Ratio,AR_Ratio,Nonting_AP_Ratio,Loan_payment_Ratio,Tax_payable_Ratio,Statutory_contribution_Ratio,Interest_income_Ratio,Other_Ratio,Interest_charges_Ratio,Loan_payment_and_interest_charges_Ratio,Loan_receipt_Ratio,Dividend_payout_Ratio,Netting_AP_Ratio,Netting_AR_Ratio,Nonting_AR_Ratio,AP_AR_Ratio,Inflow_Concentration
TW10,1,2025-01-01,2025-01-07,83005.03168999997,166644.08336,-83639.05167,83639.05167,296,9,287,280.422404358108,18516.009262222222,-291.42526714285714,164157.31,-8425.82,-83608.79531,286,0.0,0,-30.25636,1,0.0,0,2486.77336,8,164157.31,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,166644.08336,-83639.05167,9,287,1,1,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83005.03168999997,0.0,83005.03168999997,0.0,-83608.79531,0.0,0.0,0.0,-30.25636,0.0,0.0,0.0,2486.77336,0.0,164157.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334056848456762,0.0,0.00012088852889098319,0.0,0.009935840701779306,0.6558864223125678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093211828946271,0.9706000473363026
TW10,2,2025-01-08,2025-01-14,-362359.60239,27.34836,-362386.95074999996,362386.95074999996,351,2,349,-1032.3635395726496,13.67418,-1038.3580250716332,15.97204,-61958.57,-362386.95074999996,349,0.0,0,0.0,0,0.0,0,27.34836,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,27.34836,-362386.95074999996,2,349,1,2,False,1,83005.03168999997,166644.08336,-83639.05167,0.0,0.0,0.0,0.0,0.0,0.0,-139677.28535000002,314920.3528586333,-279354.57070000004,-83608.79531,-222997.87303,0.0,0.0,-30.25636,-15.12818,0.0,0.0,2486.77336,1257.06086,164157.31,82078.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999245384079294,0.0,0.0,0.0,7.546159207062419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362386.95074999996,1.0
TW10,3,2025-01-15,2025-01-21,-359634.79394999996,1102.4413499999998,-360737.2353,360737.2353,495,3,492,-726.5349372727272,367.48044999999996,-733.2057628048781,1037.04,-117528.27,-243208.96529999998,491,-117528.27,1,0.0,0,0.0,0,1099.8007499999999,2,2.6406,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1102.4413499999998,-360737.2353,3,492,1,3,False,1,-362359.60239,27.34836,-362386.95074999996,83005.03168999997,166644.08336,-83639.05167,0.0,0.0,0.0,-212996.45488333332,256348.4273122737,-638989.36465,-362386.95074999996,-229734.90378666666,0.0,-39176.090000000004,0.0,-10.085453333333334,0.0,0.0,27.34836,1204.6408233333334,0.0,54719.98353333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721456517750842,0.3248075807719745,0.0,0.0,0.0030394697457786376,7.297707162595653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92103.67541467847,0.9952210153273251
TW10,4,2025-01-22,2025-01-28,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,1,4,True,1,-359634.79394999996,1102.4413499999998,-360737.2353,-362359.60239,27.34836,-362386.95074999996,0.0,0.0,0.0,-159747.3411625,234843.67120533827,-638989.36465,-243208.96529999998,-172301.17784,-117528.27,-29382.0675,0.0,-7.56409,0.0,0.0,1099.8007499999999,903.4806175,2.6406,41039.98765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TW10,5,2025-01-29,2025-02-04,-279493.04741000035,2334787.87957,-2614280.92698,2614280.92698,444,7,437,-629.4888455180188,333541.1256528571,-5982.336217345538,2178803.4,-2502320.7,-111316.29007999999,434,0.0,0,-20.8069,1,0.0,0,3431.20957,5,2331356.67,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-623.13,1,0.0,0,0.0,0,0.0,0,-2502320.7,1,0.0,0,0.0,0,2334787.87957,-2614280.92698,7,437,1,5,True,1,0.0,0.0,0.0,-359634.79394999996,1102.4413499999998,-360737.2353,83005.03168999997,166644.08336,-83639.05167,-250371.86093750008,171283.1525252839,-918482.4120600004,0.0,-179228.0515325,0.0,-29382.0675,0.0,-5.201725,0.0,0.0,0.0,1139.5896699999998,0.0,582839.82765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-625580.175,0.0,0.0,0.0,0.0,0.022492370672372742,0.0,4.204205035998379e-06,0.0,0.0006933040747905664,0.4710697630460286,0.0,0.0,0.0,0.0,0.0,0.0,0.00012590853438434704,0.0,0.0,0.0,0.5056144494673878,0.0,0.0,0.047747430289162916,0.9970651149197718
TW10,6,2025-02-05,2025-02-11,-183775.65902000002,13.69032,-183789.34934000002,183789.34934000002,344,1,343,-534.2315669186047,13.69032,-535.8290068221575,13.69032,-46065.11,-183766.89038,342,0.0,0,-22.45896,1,0.0,0,13.69032,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.69032,-183789.34934000002,1,343,2,1,False,1,-279493.04741000035,2334787.87957,-2614280.92698,0.0,0.0,0.0,-362359.60239,27.34836,-362386.95074999996,-205725.87509500008,154848.84961773595,-1102258.0710800004,-111316.29007999999,-134573.03644,0.0,-29382.0675,-20.8069,-10.816465,0.0,0.0,3431.20957,1136.17516,2331356.67,582839.82765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-623.13,-155.7825,0.0,0.0,0.0,0.0,0.0,0.0,-2502320.7,-625580.175,0.0,0.0,0.0,0.0,0.9998033259946795,0.0,0.00012219036225703732,0.0,7.448364306338153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183766.89038,1.0
TW10,7,2025-02-12,2025-02-18,-72486.06307,2335.08,-74821.14306999999,74821.14306999999,395,3,392,-183.50902043037976,778.36,-190.87026293367344,1974.17,-12236.25,-72460.00307,391,0.0,0,0.0,0,0.0,0,2335.08,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-2361.14,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2335.08,-74821.14306999999,3,392,2,2,False,1,-183775.65902000002,13.69032,-183789.34934000002,-279493.04741000035,2334787.87957,-2614280.92698,-359634.79394999996,1102.4413499999998,-360737.2353,-133938.6923750001,122998.3637799739,-1174744.1341500003,-183766.89038,-91885.79588250001,0.0,0.0,-22.45896,-10.816465,0.0,0.0,13.69032,1444.9949725000001,0.0,582839.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-746.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-625580.175,0.0,0.0,0.0,0.0,0.9391336199059492,0.0,0.0,0.0,0.030264311899786726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03060206819426419,0.0,0.0,0.0,0.0,0.0,0.0,72460.00307,1.0
TW10,8,2025-02-19,2025-02-25,-1771320.7522999998,1235.5844,-1772556.3366999999,1772556.3366999999,657,5,652,-2696.074204414003,247.11687999999998,-2718.644688190184,1206.56,-1306369.89,-204065.31669999997,650,-262121.13,1,0.0,0,0.0,0,1235.5844,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-1306369.89,1,0.0,0,0.0,0,1235.5844,-1772556.3366999999,5,652,2,3,False,1,-72486.06307,2335.08,-74821.14306999999,-183775.65902000002,13.69032,-183789.34934000002,0.0,0.0,0.0,-576768.88045,800847.8689165633,-2946064.88645,-72460.00307,-142902.1250575,0.0,-65530.2825,0.0,-10.816465,0.0,0.0,2335.08,1753.8910725,0.0,582839.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2361.14,-746.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952172.6475,0.0,0.0,0.0,0.0,0.11504467591297339,0.14777445250593324,0.0,0.0,0.0006965779837545794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364842935973388,0.0,0.0,204065.31669999997,1.0
TW10,9,2025-02-26,2025-03-04,2611713.86631,2666161.9679,-54448.101590000006,54448.101590000006,171,4,167,15273.180504736842,666540.491975,-326.0365364670659,2519503.65,-16245.51,-54430.68446000001,166,0.0,0,-17.41713,1,0.0,0,177.3179,2,2665984.65,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2666161.9679,-54448.101590000006,4,167,2,4,True,1,-1771320.7522999998,1235.5844,-1772556.3366999999,-72486.06307,2335.08,-74821.14306999999,-279493.04741000035,2334787.87957,-2614280.92698,146032.84798000002,1817723.1067497225,-334351.02014000015,-204065.31669999997,-128680.72365249999,-262121.13,-65530.2825,0.0,-9.969022500000001,0.0,0.0,1235.5844,940.4181550000001,0.0,666496.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-590.285,0.0,0.0,0.0,0.0,0.0,0.0,-1306369.89,-326592.4725,0.0,0.0,0.0,0.0,0.02000679372263129,0.0,6.401920729222685e-06,0.0,6.51757861181627e-05,0.9799216285705212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02041672837838733,0.9998669952468839
TW10,10,2025-03-05,2025-03-11,-128369.40813,189.53815,-128558.94627999997,128558.94627999997,318,9,309,-403.6773840566038,21.059794444444446,-416.0483698381876,140.06,-10829.8,-128529.89747999999,308,0.0,0,-29.0488,1,0.0,0,189.53815,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,189.53815,-128558.94627999997,9,309,3,1,False,1,2611713.86631,2666161.9679,-54448.101590000006,-1771320.7522999998,1235.5844,-1772556.3366999999,-183775.65902000002,13.69032,-183789.34934000002,159884.41070250003,1814580.517378131,-462720.42827000015,-54430.68446000001,-114871.4754275,0.0,-65530.2825,-17.41713,-11.6164825,0.0,0.0,177.3179,984.3801125,2665984.65,666496.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-590.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-326592.4725,0.0,0.0,0.0,0.0,0.9983022172962446,0.0,0.0002256244034918618,0.0,0.0014721583002637296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128529.89747999999,1.0
