Entity,Week_Num,Week_Start,Week_End,Total_Net,Total_Inflow,Total_Outflow,Outflow_Abs,Transaction_Count,Inflow_Count,Outflow_Count,Avg_Transaction,Avg_Inflow,Avg_Outflow,Max_Transaction,Min_Transaction,Cat_AP_Net,Cat_AP_Count,Cat_Payroll_Net,Cat_Payroll_Count,Cat_Bank charges_Net,Cat_Bank charges_Count,Cat_Custom and Duty_Net,Cat_Custom and Duty_Count,Cat_Other receipt_Net,Cat_Other receipt_Count,Cat_AR_Net,Cat_AR_Count,Cat_Non Netting AP_Net,Cat_Non Netting AP_Count,Cat_Loan payment_Net,Cat_Loan payment_Count,Cat_Tax payable_Net,Cat_Tax payable_Count,Cat_Statutory contribution_Net,Cat_Statutory contribution_Count,Cat_Interest income_Net,Cat_Interest income_Count,Cat_Other_Net,Cat_Other_Count,Cat_Interest charges_Net,Cat_Interest charges_Count,Cat_Loan payment and interest charges_Net,Cat_Loan payment and interest charges_Count,Cat_Loan receipt_Net,Cat_Loan receipt_Count,Cat_Dividend payout_Net,Cat_Dividend payout_Count,Cat_Netting AP_Net,Cat_Netting AP_Count,Cat_Netting AR_Net,Cat_Netting AR_Count,Cat_Non Netting AR_Net,Cat_Non Netting AR_Count,PK40_Amount,PK50_Amount,PK40_Count,PK50_Count,Month,Week_of_Month,Is_Month_End,Quarter,Net_Lag1,Inflow_Lag1,Outflow_Lag1,Net_Lag2,Inflow_Lag2,Outflow_Lag2,Net_Lag4,Inflow_Lag4,Outflow_Lag4,Net_Rolling4_Mean,Net_Rolling4_Std,Cumulative_Net
VN20,1,2025-01-01,2025-01-07,-33906.490889999994,887.0003800000001,-34793.491270000006,34793.491270000006,512,4,508,-66.22361501953124,221.75009500000002,-68.49112454724411,839.58,-5760.59,-34778.30057,255,0.0,0,-15.190699999999998,253,0.0,0,887.0003800000001,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,887.0003800000001,-34793.491270000006,4,508,1,1,False,1,,,,,,,,,,-33906.490889999994,,-33906.490889999994
VN20,2,2025-01-08,2025-01-14,142940.48303999996,367319.72578,-224379.24274,224379.24274,361,20,341,395.95701673130185,18365.986289,-658.003644398827,141533.99,-91770.32,-132591.51200999998,170,-91770.32,1,-17.41073,170,0.0,0,57.56141,11,367262.16437,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,367319.72578,-224379.24274,20,341,1,2,False,1,-33906.490889999994,887.0003800000001,-34793.491270000006,,,,,,,54516.99607499999,125049.69449822356,109033.99214999998
VN20,3,2025-01-15,2025-01-21,311822.90898999997,409521.75642,-97698.84743,97698.84743,572,6,566,545.1449457867133,68253.62607,-172.6128046466431,297962.35,-20794.04,-97675.62315,284,0.0,0,-23.22428,282,0.0,0,35.09642,4,409486.66,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,409521.75642,-97698.84743,6,566,1,3,False,1,142940.48303999996,367319.72578,-224379.24274,-33906.490889999994,887.0003800000001,-34793.491270000006,,,,140285.6337133333,172879.9891660591,420856.90114
VN20,4,2025-01-22,2025-01-28,-16820.61457,14.82888,-16835.443450000002,16835.443450000002,193,1,192,-87.15344336787565,14.82888,-87.68460130208335,14.82888,-5553.2,-16826.80795,96,0.0,0,-8.6355,96,0.0,0,14.82888,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.82888,-16835.443450000002,1,192,1,4,True,1,311822.90898999997,409521.75642,-97698.84743,142940.48303999996,367319.72578,-224379.24274,,,,101009.07164249998,161541.28599768924,404036.28656999994
VN20,5,2025-01-29,2025-02-04,-993605.4013300003,1100268.16088,-2093873.56221,2093873.56221,171,11,160,-5810.557902514622,100024.37826181819,-13086.7097638125,710116.2,-1725721.12,-99530.52683,77,0.0,0,-28.55538000000001,79,0.0,0,126.83088,6,202426.66,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,187598.47,1,0.0,0,-1994314.48,4,710116.2,1,0.0,0,1100268.16088,-2093873.56221,11,160,1,5,True,1,-16820.61457,14.82888,-16835.443450000002,311822.90898999997,409521.75642,-97698.84743,-33906.490889999994,887.0003800000001,-34793.491270000006,-138915.65596750006,585380.1889933966,-589569.1147600003
VN20,6,2025-02-05,2025-02-11,187142.28837000002,215922.54551,-28780.25714,28780.25714,184,8,175,1017.0776541847828,26990.31818875,-164.45861222857144,105913.48,-4260.1,-28769.221759999997,89,0.0,0,-11.035379999999998,87,0.0,0,564.5155099999998,5,215358.03,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,215922.54551,-28780.257139999994,8,176,2,1,False,1,-993605.4013300003,1100268.16088,-2093873.56221,-16820.61457,14.82888,-16835.443450000002,142940.48303999996,367319.72578,-224379.24274,-127865.20463500005,592844.090541127,-402426.82639000023
VN20,7,2025-02-12,2025-02-18,493919.29792000004,528256.6034199999,-34337.305499999995,34337.305499999995,414,10,404,1193.041782415459,52825.660341999996,-84.99333044554454,203838.58,-4192.2,-34326.41587,204,0.0,0,-10.88963,200,0.0,0,39.303419999999996,6,528217.3,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,528256.6034199999,-34337.305499999995,10,404,2,2,False,1,187142.28837000002,215922.54551,-28780.25714,-993605.4013300003,1100268.16088,-2093873.56221,311822.90898999997,409521.75642,-97698.84743,-82341.10740250006,642752.6490825039,91492.4715299998
VN20,8,2025-02-19,2025-02-25,-934187.24195,265249.14741000003,-1199436.38936,1199436.38936,292,29,263,-3199.2713765410963,9146.52232448276,-4560.59463634981,115965.24,-732663.15,-111096.43100000001,127,-151149.26,2,-23.32836,129,0.0,0,78.24916999999999,3,57736.4,2,0.0,0,-937167.37,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,128074.15824,23,0.0,0,0.0,0,79360.34,1,0.0,0,265249.14741000003,-1199436.38936,29,263,2,3,False,1,493919.29792000004,528256.6034199999,-34337.305499999995,187142.28837000002,215922.54551,-28780.25714,-16820.61457,14.82888,-16835.443450000002,-311682.76424750005,763839.2988520979,-842694.7704200002
VN20,9,2025-02-26,2025-03-04,-135173.7568399998,1660598.0777599998,-1795771.8346,1795771.8346,259,9,250,-521.9063970656364,184510.89752888886,-7183.0873384,1060635.96,-1037655.48,-41383.433970000006,123,0.0,0,-10.08063,124,0.0,0,200.09776,6,599762.02,2,0.0,0,-1754378.3199999998,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1060635.96,1,0.0,0,1660598.0777599998,-1795771.8346,9,250,2,4,True,1,-934187.24195,265249.14741000003,-1199436.38936,493919.29792000004,528256.6034199999,-34337.305499999995,-993605.4013300003,1100268.16088,-2093873.56221,-97074.85312499997,614345.7626010432,-977868.5272600001
VN20,10,2025-03-05,2025-03-11,-26042.70394,1220.17494,-27262.87888,27262.87888,236,5,231,-110.35044042372881,244.03498800000003,-118.0211206926407,1216.22,-3473.76,-27249.83615,115,0.0,0,-13.042729999999999,116,0.0,0,1220.17494,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1220.17494,-27262.87888,5,231,3,1,False,1,-135173.7568399998,1660598.0777599998,-1795771.8346,-934187.24195,265249.14741000003,-1199436.38936,187142.28837000002,215922.54551,-28780.25714,-150371.10120249997,590244.6867018428,-1003911.2312000002
